Model Combination,Weights,Dataset,mAP50-95,mAP50,Precision,Recall
clear_model_&_heavy_model,0.7:0.3,test_clear,0.43,0.6041,0.7944,0.512
clear_model_&_heavy_model,0.6:0.4,test_clear,0.4281,0.6038,0.7933,0.5076
clear_model_&_heavy_model,0.8:0.2,test_clear,0.4302,0.6031,0.7985,0.5087
clear_model_&_heavy_model,0.5:0.5,test_clear,0.4266,0.6018,0.7528,0.5186
clear_model_&_heavy_model,0.4:0.6,test_clear,0.4244,0.5999,0.7528,0.5177
clear_model_&_heavy_model,0.3:0.7,test_clear,0.4205,0.5988,0.752,0.5178
clear_model_&_heavy_model,0.2:0.8,test_clear,0.4162,0.5954,0.7498,0.5151
clear_model_&_light_model,0.3:0.7,test_clear,0.4315,0.6036,0.732,0.5215
clear_model_&_light_model,0.6:0.4,test_clear,0.4321,0.6034,0.7971,0.4981
clear_model_&_light_model,0.4:0.6,test_clear,0.4328,0.6033,0.7299,0.5202
clear_model_&_light_model,0.7:0.3,test_clear,0.4323,0.6032,0.7835,0.5044
clear_model_&_light_model,0.5:0.5,test_clear,0.4329,0.6024,0.7845,0.5004
clear_model_&_light_model,0.8:0.2,test_clear,0.4308,0.6019,0.7863,0.5043
clear_model_&_light_model,0.2:0.8,test_clear,0.4289,0.6015,0.7321,0.5192
clear_model_&_medium_model,0.6:0.4,test_clear,0.432,0.6052,0.7863,0.5122
clear_model_&_medium_model,0.7:0.3,test_clear,0.4326,0.605,0.7978,0.5068
clear_model_&_medium_model,0.8:0.2,test_clear,0.4328,0.6047,0.7951,0.5085
clear_model_&_medium_model,0.5:0.5,test_clear,0.4303,0.6038,0.7603,0.5185
clear_model_&_medium_model,0.4:0.6,test_clear,0.4287,0.602,0.7454,0.5196
clear_model_&_medium_model,0.3:0.7,test_clear,0.4261,0.6007,0.7453,0.5197
clear_model_&_medium_model,0.2:0.8,test_clear,0.4214,0.598,0.7456,0.5172
light_model_&_heavy_model,0.6:0.4,test_clear,0.421,0.5933,0.8139,0.487
light_model_&_heavy_model,0.7:0.3,test_clear,0.4219,0.5925,0.7743,0.4966
light_model_&_heavy_model,0.8:0.2,test_clear,0.4199,0.5923,0.7761,0.4956
light_model_&_heavy_model,0.5:0.5,test_clear,0.4198,0.5915,0.8015,0.4866
light_model_&_heavy_model,0.4:0.6,test_clear,0.4161,0.5906,0.7666,0.4967
light_model_&_heavy_model,0.3:0.7,test_clear,0.4143,0.5896,0.743,0.5043
light_model_&_heavy_model,0.2:0.8,test_clear,0.4103,0.5839,0.739,0.5035
light_model_&_medium_model,0.6:0.4,test_clear,0.4253,0.5973,0.8108,0.4885
light_model_&_medium_model,0.7:0.3,test_clear,0.4258,0.5971,0.7748,0.5021
light_model_&_medium_model,0.8:0.2,test_clear,0.4224,0.5952,0.7778,0.4997
light_model_&_medium_model,0.5:0.5,test_clear,0.4222,0.5951,0.8123,0.4859
light_model_&_medium_model,0.4:0.6,test_clear,0.4222,0.5944,0.7986,0.4883
light_model_&_medium_model,0.3:0.7,test_clear,0.4197,0.5898,0.7327,0.5054
light_model_&_medium_model,0.2:0.8,test_clear,0.4172,0.5878,0.7315,0.507
medium_model_&_heavy_model,0.5:0.5,test_clear,0.413,0.5801,0.7637,0.4895
medium_model_&_heavy_model,0.6:0.4,test_clear,0.414,0.5799,0.7649,0.4893
medium_model_&_heavy_model,0.7:0.3,test_clear,0.414,0.5788,0.7937,0.4763
medium_model_&_heavy_model,0.3:0.7,test_clear,0.4088,0.5788,0.7659,0.4893
medium_model_&_heavy_model,0.8:0.2,test_clear,0.4141,0.5788,0.7811,0.4837
medium_model_&_heavy_model,0.4:0.6,test_clear,0.4116,0.5757,0.7616,0.4882
medium_model_&_heavy_model,0.2:0.8,test_clear,0.4054,0.5742,0.766,0.4881
clear_model_&_heavy_model,0.5:0.5,test_foggy,0.4261,0.5962,0.7742,0.5052
clear_model_&_heavy_model,0.6:0.4,test_foggy,0.4253,0.5954,0.7736,0.5049
clear_model_&_heavy_model,0.4:0.6,test_foggy,0.4272,0.5953,0.7732,0.5037
clear_model_&_heavy_model,0.7:0.3,test_foggy,0.4239,0.5941,0.7737,0.5047
clear_model_&_heavy_model,0.8:0.2,test_foggy,0.4212,0.5932,0.7766,0.5048
clear_model_&_heavy_model,0.3:0.7,test_foggy,0.4264,0.5924,0.7839,0.4974
clear_model_&_heavy_model,0.2:0.8,test_foggy,0.4237,0.5908,0.7747,0.5005
clear_model_&_light_model,0.6:0.4,test_foggy,0.4253,0.5831,0.7755,0.4884
clear_model_&_light_model,0.5:0.5,test_foggy,0.4257,0.5829,0.7743,0.4877
clear_model_&_light_model,0.7:0.3,test_foggy,0.4238,0.582,0.7765,0.4884
clear_model_&_light_model,0.4:0.6,test_foggy,0.4244,0.5816,0.7721,0.4865
clear_model_&_light_model,0.8:0.2,test_foggy,0.4221,0.5816,0.7788,0.4877
clear_model_&_light_model,0.3:0.7,test_foggy,0.4229,0.5803,0.7714,0.4855
clear_model_&_light_model,0.2:0.8,test_foggy,0.4205,0.5763,0.7701,0.4835
clear_model_&_medium_model,0.6:0.4,test_foggy,0.4239,0.5898,0.7738,0.5016
clear_model_&_medium_model,0.5:0.5,test_foggy,0.4251,0.5888,0.7708,0.4995
clear_model_&_medium_model,0.4:0.6,test_foggy,0.4259,0.588,0.7701,0.4989
clear_model_&_medium_model,0.7:0.3,test_foggy,0.4225,0.5879,0.7721,0.5002
clear_model_&_medium_model,0.3:0.7,test_foggy,0.4259,0.5874,0.7699,0.4989
clear_model_&_medium_model,0.8:0.2,test_foggy,0.4215,0.5871,0.7725,0.4995
clear_model_&_medium_model,0.2:0.8,test_foggy,0.4241,0.5858,0.7701,0.4984
light_model_&_heavy_model,0.6:0.4,test_foggy,0.4251,0.5924,0.7487,0.5036
light_model_&_heavy_model,0.3:0.7,test_foggy,0.4233,0.5904,0.7613,0.4984
light_model_&_heavy_model,0.4:0.6,test_foggy,0.4243,0.59,0.7482,0.5011
